CNPJ do Administrador (Agente de Registro),CNPJ do,Prestador de Serviço é o Gestor do Fundo (S/N),CNPJ DA CARTEIRA,CNPJ do Pagador pelos Serviços da CERC,Trading Name, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.486.217/0001-60,20.486.217/0001-60,V8 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - AÇÕES JUDICIAIS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.636.504/0001-00,20.636.504/0001-00,PLENO INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.717.010/0001-50,20.717.010/0001-50,SOLITUDE PRECATÓRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.717.010/0001-50,20.717.010/0001-50,SOLITUDE PRECATÓRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.791.371/0001-46,20.791.371/0001-46,LS INTERBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.791.458/0001-13,20.791.458/0001-13,FLYTOUR FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP FECHADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.820.603/0001-47,20.820.603/0001-47,FIDC POLO RECUPERAÇÃO DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.826.761/0001-04,20.826.761/0001-04,VÉRTICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃOPADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.861.236/0001-20,20.861.236/0001-20,MAXINVESTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.905.778/0001-57,20.905.778/0001-57,ACCESS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.905.862/0001-70,20.905.862/0001-70,PRIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.906.292/0001-33,20.906.292/0001-33,TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.953.316/0001-05,20.953.316/0001-05,PANGU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.053.703/0001-58,21.053.703/0001-58,CEDRO FIDC MULTISSETORIAL NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.053.720/0001-95,21.053.720/0001-95,GLOBALCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.081.879/0001-13,21.081.879/0001-13,CMF FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.081.976/0001-06,21.081.976/0001-06,TAIPATSB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.093.180/0001-73,21.093.180/0001-73,FIPER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.254.441/0001-90,21.254.441/0001-90,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CAPITAL 5, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.254.455/0001-03,21.254.455/0001-03,PAULISTA INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.397.569/0001-02,21.397.569/0001-02,FS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.397.715/0001-08,21.397.715/0001-08,FIDC BRASIL PLURAL RECUPERAÇÃO DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.397.762/0001-43,21.397.762/0001-43,PAULISTA VARALI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.397.791/0001-05,21.397.791/0001-05,II FIDC NP POLO RECUPERAÇÃO DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,21.605.486/0001-61,21.605.486/0001-61,VALORTEC FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,22.003.571/0001-12,22.003.571/0001-12,INVESTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,22.175.369/0001-78,22.175.369/0001-78,CONFIANÇA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,22.175.405/0001-01,22.175.405/0001-01,MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,22.358.482/0001-99,22.358.482/0001-99,AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,22.406.927/0001-69,22.406.927/0001-69,INVESTCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,22.753.713/0001-69,22.753.713/0001-69,VENTURA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,22.881.521/0001-38,22.881.521/0001-38,JC HONORÁRIOS TDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,22.945.783/0001-19,22.945.783/0001-19,LEVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.006.061/0001-61,23.006.061/0001-61,MARTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.104.455/0001-52,23.104.455/0001-52,SATURNO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.104.485/0001-69,23.104.485/0001-69,VERITA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.200.289/0001-98,23.200.289/0001-98,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO CF, ,,,
